player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Clay",jDaq6q7HFV,2026-06-03T13:06:51.419Z,,589,,455,-134
"0opsy",XO-P6ChLBL,2026-06-03T12:21:32.572Z,2026-06-03T12:23:19.686Z,50,0,0,-50
"Bokong",oEjeIX4iN0,2026-06-03T11:03:33.593Z,2026-06-03T11:11:11.049Z,79,0,0,-79
"Bokong",oEjeIX4iN0,2026-06-03T10:42:20.334Z,2026-06-03T11:01:58.921Z,100,0,0,-100
"Bubulidot",DYXLwRPWuA,2026-06-03T10:19:32.800Z,2026-06-03T10:53:41.005Z,50,0,0,-50
"Jovi",O-3L4966Ji,2026-06-03T10:12:45.306Z,2026-06-03T11:03:33.590Z,150,738,0,588
"Bubulidot",DYXLwRPWuA,2026-06-03T10:05:50.038Z,2026-06-03T10:17:36.901Z,100,0,0,-100
"Jovi",O-3L4966Ji,2026-06-03T09:27:25.086Z,2026-06-03T10:11:24.086Z,150,0,0,-150
"arpeggi",GxLDL7uH6F,2026-06-03T09:10:47.082Z,,850,,1542,692
"Winston",MkDWPpf-PK,2026-06-03T08:48:21.353Z,2026-06-03T11:01:58.928Z,300,689,0,389
"Bokong",oEjeIX4iN0,2026-06-03T08:40:22.753Z,2026-06-03T10:03:23.512Z,200,339,0,139
"Winston",MkDWPpf-PK,2026-06-03T08:32:44.046Z,2026-06-03T08:46:34.279Z,100,0,0,-100
"Winston",MkDWPpf-PK,2026-06-03T07:27:23.683Z,2026-06-03T08:30:16.310Z,100,0,0,-100
"Bubulidot",DYXLwRPWuA,2026-06-03T07:14:55.027Z,2026-06-03T07:46:53.617Z,50,0,0,-50
"Winston",MkDWPpf-PK,2026-06-03T07:10:59.229Z,2026-06-03T07:25:40.425Z,150,0,0,-150
"Jovi",O-3L4966Ji,2026-06-03T06:57:56.618Z,2026-06-03T07:09:34.204Z,150,0,0,-150
"jon",M27O7piJNR,2026-06-03T06:50:46.424Z,2026-06-03T08:32:44.043Z,200,0,0,-200
"toti",kdKRyNDxHl,2026-06-03T06:45:24.086Z,2026-06-03T11:38:29.955Z,3000,0,0,-3000
"Sembik",oEjeIX4iN0,2026-06-03T06:45:24.081Z,2026-06-03T08:38:26.705Z,340,0,0,-340
"Sembik",oEjeIX4iN0,2026-06-03T06:37:46.520Z,2026-06-03T06:43:47.609Z,20,0,0,-20
"00opsy",lNvrOALvFL,2026-06-03T06:35:23.337Z,2026-06-03T06:55:18.787Z,50,0,0,-50
"jon",M27O7piJNR,2026-06-03T06:22:49.602Z,2026-06-03T06:49:17.882Z,100,0,0,-100
"Winston",MkDWPpf-PK,2026-06-03T06:21:08.202Z,2026-06-03T07:09:34.202Z,350,0,0,-350
"Marco",3eHzuywbqn,2026-06-03T06:20:07.902Z,2026-06-03T10:05:50.034Z,50,684,0,634
"Clay",jDaq6q7HFV,2026-06-03T06:15:17.588Z,2026-06-03T10:48:38.233Z,8630,7739,0,-891
"test ombak",blyyg6q3R-,2026-06-03T06:11:35.157Z,2026-06-03T10:21:31.592Z,175,1012,0,837
"Jovi",O-3L4966Ji,2026-06-03T06:08:41.894Z,2026-06-03T06:40:19.222Z,100,72,0,-28
"BANDITBAIK",lsEFuPWzHP,2026-06-03T06:06:04.371Z,,3300,,2613,-687
"Brayden",xBYVeVi0nD,2026-06-03T06:06:04.366Z,2026-06-03T13:34:11.044Z,2000,5600,0,3600
