player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"jonny2",xwU3xqObHe,,,50,,50,0
"jonny2",xwU3xqObHe,2026-06-02T07:48:50.191Z,2026-06-02T07:54:21.311Z,25,0,0,-25
"Clay",1CSYPldtGy,2026-06-02T07:46:29.881Z,2026-06-02T07:54:40.184Z,200,382,0,182
"jonny2",xwU3xqObHe,2026-06-02T07:35:02.666Z,2026-06-02T07:48:07.350Z,20,0,0,-20
"Clay",1CSYPldtGy,2026-06-02T07:21:11.713Z,2026-06-02T07:45:23.299Z,50,0,0,-50
"jonny2",xwU3xqObHe,2026-06-02T07:19:26.480Z,2026-06-02T07:29:05.349Z,20,0,0,-20
"vanditbaik2",jlM9IjEUxk,2026-06-02T07:04:54.574Z,,50,,83,33
"bandit2",jlM9IjEUxk,2026-06-02T06:53:16.059Z,2026-06-02T07:04:41.573Z,50,0,0,-50
"sandro2",GxLDL7uH6F,2026-06-02T06:53:16.057Z,2026-06-02T07:54:21.306Z,50,0,0,-50
